=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-total
Instances:    4000
Attributes:   2002
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2002 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.09623     1524 tfidf(rook_.)
 0.09623     1127 tfidf(intention)
 0.09623      246 tfidf(/+-)
 0.09623      281 tfidf(1992_/_td)
 0.09623     1510 tfidf(refute)
 0.09623     1685 tfidf(the_enemy)
 0.09623     1710 tfidf(the_most)
 0.09623     1700 tfidf(the_key)
 0.09623      227 tfidf(/_it)
 0.09623     1758 tfidf(the_wrong)
 0.09623     1257 tfidf(most)
 0.09623      890 tfidf(e_()
 0.09623      648 tfidf(best_move)
 0.09623     1798 tfidf(to_black)
 0.09623      156 tfidf(_comma__t_/)
 0.09623      197 tfidf(._on)
 0.09623       26 tfidf((_30)
 0.09623       27 tfidf((_30_))
 0.09623      927 tfidf(exp)
 0.09623     1846 tfidf(unclear)
 0.09623     1799 tfidf(to_bring)
 0.09623     1905 tfidf(wely)
 0.09623      595 tfidf(be_better_.)
 0.09623       65 tfidf((_61_))
 0.09623      941 tfidf(fact_that)
 0.09623       64 tfidf((_61)
 0.09623       52 tfidf((_44)
 0.09623       53 tfidf((_44_))
 0.09623     1927 tfidf(white_ha_an)
 0.09623      110 tfidf(_comma__e_()
 0.09623      574 tfidf(b.)
 0.09623       99 tfidf(_comma__but_black)
 0.09623      219 tfidf(/_2)
 0.09623      119 tfidf(_comma__h_/)
 0.09623      608 tfidf(be_meet_by)
 0.09623     1850 tfidf(unnecessary)
 0.09623      857 tfidf(delhi)
 0.09623      918 tfidf(eu)
 0.09618      770 tfidf(chess)
 0.09602      438 tfidf(a_()
 0.09574      289 tfidf(1996)
 0.09461      235 tfidf(/_new)
 0.09461      313 tfidf(2003)
 0.09461      294 tfidf(1998)
 0.09461      307 tfidf(2001_/)
 0.09446     1522 tfidf(risky)
 0.09446     1092 tfidf(illescas_cordoba)
 0.09446     1795 tfidf(to_attack)
 0.09446     1015 tfidf(go_to)
 0.09446      338 tfidf(28_))
 0.09446     1789 tfidf(time_.)
 0.09446      620 tfidf(be_play)
 0.09446     1391 tfidf(p_sacrifice)
 0.09446     1998 tfidf(zee)
 0.09446      299 tfidf(1999_/_cbm)
 0.09446      199 tfidf(._this)
 0.09446      127 tfidf(_comma__it)
 0.09446      888 tfidf(during)
 0.09446     1093 tfidf(illescas_cordoba__comma_)
 0.09446      114 tfidf(_comma__for_example)
 0.09446      512 tfidf(aim)
 0.09446      206 tfidf(/_0-1)
 0.09446     1054 tfidf(healthy)
 0.09446     1854 tfidf(up_.)
 0.09446     1963 tfidf(will_not)
 0.09446     1958 tfidf(wijk)
 0.09446      326 tfidf(2008_/_cbm)
 0.09446     1944 tfidf(white_want)
 0.09446     1945 tfidf(white_want_to)
 0.09446     1667 tfidf(the_bishop_on)
 0.09446      210 tfidf(/_1-0_()
 0.09446     1143 tfidf(ivanchuk__comma_)
 0.09414       82 tfidf(_comma__a_()
 0.0925       913 tfidf(enough_to)
 0.0925      1800 tfidf(to_continue)
 0.0925      1637 tfidf(than_a)
 0.0925      1626 tfidf(take_on)
 0.0925      1869 tfidf(very_difficult)
 0.0925      1235 tfidf(men)
 0.0925      1588 tfidf(space_advantage_and)
 0.0925      1756 tfidf(the_white_king)
 0.0925      1319 tfidf(obtain)
 0.0925      1353 tfidf(on_the_other)
 0.0925      1509 tfidf(refutation)
 0.0925      1120 tfidf(inaccuracy)
 0.0925      1986 tfidf(world)
 0.0925      1717 tfidf(the_other_hand)
 0.0925      1378 tfidf(other_hand)
 0.09223      315 tfidf(2004)
 0.09223      275 tfidf(1990)
 0.09116      143 tfidf(_comma__p)
 0.09116      306 tfidf(2001)
 0.09098      109 tfidf(_comma__e)
 0.09081      160 tfidf(_comma__v)
 0.08969      236 tfidf(/_new_york)
 0.08953       83 tfidf(_comma__a_/)
 0.08834      282 tfidf(1993)
 0.08834      249 tfidf(1)
 0.08763      279 tfidf(1992)
 0.08693     1390 tfidf(p_/)
 0.08693      145 tfidf(_comma__p_/)
 0.08684     1662 tfidf(the_best)
 0.08623      362 tfidf(41)
 0.08547      709 tfidf(blunder)
 0.08547      363 tfidf(41_))
 0.08475      149 tfidf(_comma__s)
 0.08394       47 tfidf((_41_))
 0.08394      247 tfidf(0)
 0.08394       46 tfidf((_41)
 0.08352      415 tfidf(]_()
 0.08342      172 tfidf(-)
 0.08288     1361 tfidf(op)
 0.08234      713 tfidf(break)
 0.08234      271 tfidf(1988)
 0.08095      284 tfidf(1994)
 0.08073     1342 tfidf(olm)
 0.08066      891 tfidf(e_/)
 0.08066      111 tfidf(_comma__e_/)
 0.08066      318 tfidf(2005)
 0.0794       984 tfidf(g)
 0.07889     1542 tfidf(san)
 0.07805      115 tfidf(_comma__g)
 0.07805      302 tfidf(2000)
 0.07805       89 tfidf(_comma__b)
 0.07791      647 tfidf(best)
 0.07702       91 tfidf(_comma__b_/)
 0.07702      877 tfidf(doesn_apostrophe_t)
 0.07702      573 tfidf(b_/)
 0.07686      517 tfidf(allow)
 0.07659     1845 tfidf(typical)
 0.07504     1375 tfidf(order)
 0.07504      212 tfidf(/_1/2_-)
 0.07504     1233 tfidf(meet)
 0.07504      211 tfidf(/_1/2)
 0.07504     1172 tfidf(l_()
 0.07504      364 tfidf(42)
 0.07359     1258 tfidf(move)
 0.07294     1343 tfidf(olm_/)
 0.07294      734 tfidf(c)
 0.07294      209 tfidf(/_1-0)
 0.07294     1991 tfidf(wrong)
 0.07294      154 tfidf(_comma__t)
 0.07294     1702 tfidf(the_kingside)
 0.07294      134 tfidf(_comma__l_()
 0.07278      439 tfidf(a_/)
 0.07156     1862 tfidf(v)
 0.07069      348 tfidf(33)
 0.07069      375 tfidf(50)
 0.07069      550 tfidf(and_white_be)
