=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-move-1
Instances:    2000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0             13 tfidf(_comma__a_/)
 0             18 tfidf(_comma__e)
 0             17 tfidf(_comma__but)
 0             16 tfidf(_comma__black)
 0             15 tfidf(_comma__b)
 0             14 tfidf(_comma__and)
 0             49 tfidf(/_monte)
 0             51 tfidf(/_new)
 0             96 tfidf(a_/)
 0             82 tfidf([_+_])
 0             83 tfidf(\)
 0             80 tfidf([__percent__csl)
 0             81 tfidf([_+)
 0             79 tfidf([__percent__cal)
 0             85 tfidf(]_and)
 0             76 tfidf(?)
 0             77 tfidf([)
 0             78 tfidf([__percent_)
 0             84 tfidf(])
 0             86 tfidf(^)
 0             52 tfidf(/_new_york)
 0             94 tfidf(_.)
 0             95 tfidf(a)
 0             92 tfidf(__|__)
 0             93 tfidf(__|__.)
 0             91 tfidf(__|)
 0             87 tfidf(^_.)
 0             88 tfidf(^_^)
 0             89 tfidf(_)
 0             90 tfidf(__be)
 0             75 tfidf(>_>_.)
 0             74 tfidf(>_>)
 0             73 tfidf(>_<)
 0             59 tfidf(2000)
 0             60 tfidf(2001)
 0             57 tfidf(1998)
 0             58 tfidf(1999)
 0             56 tfidf(1993)
 0             72 tfidf(>_.)
 0             53 tfidf(1990)
 0             54 tfidf(1991)
 0             55 tfidf(1992)
 0             61 tfidf(2004)
 0             62 tfidf(9.)
 0             63 tfidf(:)
 0             70 tfidf(<_<_.)
 0             71 tfidf(>)
 0             64 tfidf(;)
 0             69 tfidf(<_<)
 0             68 tfidf(<_.)
 0             67 tfidf(<_-_>)
 0             66 tfidf(<_-)
 0             65 tfidf(<)
 0            210 tfidf(and_strong)
 0            211 tfidf(and_strong_.)
 0            213 tfidf(and_the_b)
 0            362 tfidf(better_chanses)
 0            363 tfidf(better_for)
 0            359 tfidf(better__comma_)
 0            361 tfidf(better_chance)
 0            358 tfidf(better)
 0            365 tfidf(better_prospect)
 0            355 tfidf(best_.)
 0            356 tfidf(best_move)
 0            357 tfidf(best_place)
 0            364 tfidf(better_for_white)
 0            366 tfidf(better_than)
 0            378 tfidf(black_be_in)
 0            375 tfidf(black_be)
 0            376 tfidf(black_be_completely)
 0            373 tfidf(black_.)
 0            374 tfidf(black_a)
 0            372 tfidf(black)
 0            368 tfidf(big)
 0            369 tfidf(bishop)
 0            370 tfidf(bishop_.)
 0            371 tfidf(bite)
 0            354 tfidf(best)
 0            353 tfidf(besides)
 0            352 tfidf(begin_of)
 0            332 tfidf(be_still)
 0            333 tfidf(be_stronger)
 0            330 tfidf(be_slightly)
 0            331 tfidf(be_slightly_better)
 0            329 tfidf(be_simple)
 0            351 tfidf(begin)
 0            324 tfidf(be_recommend)
 0            327 tfidf(be_similar)
 0            328 tfidf(be_similar_to)
 0            335 tfidf(be_the_main)
 0            336 tfidf(be_the_most)
 0            338 tfidf(be_the_same)
 0            349 tfidf(become)
 0            350 tfidf(before)
 0            339 tfidf(be_the_typical)
 0            346 tfidf(be_worth)
 0            345 tfidf(be_win_.)
 0            343 tfidf(be_very)
 0            342 tfidf(be_trap_.)
 0            341 tfidf(be_trap)
 0            377 tfidf(black_be_fine)
 0            379 tfidf(black_be_win)
 0            322 tfidf(be_rather)
 0            412 tfidf(blow_.)
 0            417 tfidf(board)
 0            410 tfidf(blockade)
 0            411 tfidf(blow)
 0            409 tfidf(block)
 0            419 tfidf(both)
 0            406 tfidf(black_apostrophe_s_piece)
 0            407 tfidf(black_apostrophe_s_position)
 0            408 tfidf(black_apostrophe_s_position_be)
 0            418 tfidf(board_.)
 0            420 tfidf(both_case)
 0            380 tfidf(black_can)
 0            431 tfidf(by_force)
 0            432 tfidf(by_perpetual)
 0            427 tfidf(but_still)
 0            428 tfidf(but_the)
 0            425 tfidf(bring)
 0            421 tfidf(brave)
 0            422 tfidf(break)
 0            423 tfidf(breakthrough)
 0            424 tfidf(brilliant)
 0            405 tfidf(black_apostrophe_s_king_be)
 0            404 tfidf(black_apostrophe_s_king)
 0            403 tfidf(black_apostrophe_s)
 0            388 tfidf(black_ha_a)
 0            389 tfidf(black_ha_no)
 0            766 tfidf(immediately_.)
 0            386 tfidf(black_get)
 0            384 tfidf(black_doesn_apostrophe_t)
 0            402 tfidf(black_would)
 0            381 tfidf(black_can_apostrophe_t)
 0            382 tfidf(black_cannot)
 0            383 tfidf(black_could)
 0            390 tfidf(black_ha_to)
 0            391 tfidf(black_hold)
 0            392 tfidf(black_keep)
 0            400 tfidf(black_want)
 0            401 tfidf(black_win)
 0            393 tfidf(black_lose)
 0            399 tfidf(black_to)
 0            398 tfidf(black_still)
 0            397 tfidf(black_should)
 0            396 tfidf(black_piece)
 0            395 tfidf(black_must)
 0            323 tfidf(be_ready)
 0            321 tfidf(be_quite)
 0            214 tfidf(and_the_black)
 0            250 tfidf(b.)
 0            251 tfidf(b3)
 0            248 tfidf(b)
 0            249 tfidf(b_be)
 0            247 tfidf(away_.)
 0            253 tfidf(b7)
 0            241 tfidf(attention__comma_)
 0            244 tfidf(avoid)
 0            245 tfidf(avoid_the)
 0            252 tfidf(b6)
 0            254 tfidf(back)
 0            266 tfidf(be_about_equal)
 0            263 tfidf(be_a_bite)
 0            264 tfidf(be_a_draw)
 0            261 tfidf(be_:)
 0            262 tfidf(be_a)
 0            260 tfidf(be)
 0            256 tfidf(bad_.)
 0            257 tfidf(bad_for)
 0            258 tfidf(badly)
 0            259 tfidf(balance)
 0            239 tfidf(attempt_to)
 0            238 tfidf(attempt)
 0            237 tfidf(attack_the)
 0            222 tfidf(and_white_apostrophe_s)
 0            223 tfidf(and_white_apostrophe_s_-)
 0            220 tfidf(and_white_ha)
 0            221 tfidf(and_white_win)
 0            219 tfidf(and_white_be)
 0            236 tfidf(attack_.)
 0            215 tfidf(and_the_game)
 0            216 tfidf(and_the_n)
 0            217 tfidf(and_the_position)
 0            224 tfidf(annoy)
 0            225 tfidf(another)
 0            226 tfidf(answer)
