=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-move-1
Instances:    2000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.0677       479 count(come_into_consideration)
 0.0677       279 count(be_better_.)
 0.0677      1561 count(white_would)
 0.0677        12 count(_comma__a)
 0.0677       801 count(into_consideration)
 0.0677       287 count(be_fine)
 0.0677       663 count(follow_by)
 0.0677       495 count(consideration_.)
 0.0677       245 count(avoid_the)
 0.0677      1332 count(the_idea_of)
 0.0677      1018 count(only_chance)
 0.0677      1452 count(too_.)
 0.0677       462 count(change)
 0.0677      1304 count(the_best_.)
 0.0677       682 count(force_a)
 0.0677      1009 count(on_the_queenside)
 0.0677       505 count(control_over)
 0.0677       478 count(come_into)
 0.0677       259 count(balance)
 0.0677       493 count(consider)
 0.0677      1200 count(set)
 0.0677      1037 count(order_.)
 0.0677      1066 count(perpetual)
 0.0677       506 count(control_over_the)
 0.0677       730 count(ha_to_be)
 0.0677       914 count(more_dangerous)
 0.0677      1142 count(quiet)
 0.0677       875 count(main_line)
 0.0677       396 count(black_piece)
 0.0677       177 count(also_possible)
 0.0677      1118 count(prevent_the)
 0.0677       715 count(go_for_the)
 0.0677       547 count(defense)
 0.0677      1119 count(previous)
 0.0677      1106 count(practical_chance)
 0.0677      1103 count(possible_continuation)
 0.0677      1122 count(probably_the)
 0.0677       899 count(might)
 0.0677       409 count(block)
 0.0677      1286 count(test)
 0.0677      1148 count(rare)
 0.0677      1456 count(transfer)
 0.0677       827 count(kingside_.)
 0.0677       832 count(la)
 0.0677       903 count(miss_this)
 0.06727      197 count(and_black)
 0.06545     1451 count(too)
 0.0638      1391 count(there)
 0.0638       741 count(help)
 0.06324      334 count(be_the)
 0.0608       671 count(for_example)
 0.0608       623 count(example)
 0.0592       196 count(and)
 0.05627     1399 count(this_be_a)
 0.05622       20 count(_comma__for)
 0.05622       21 count(_comma__for_example)
 0.05454      921 count(most)
 0.05089      874 count(main)
 0.05083     1623 count(would_be)
 0.05066      387 count(black_ha)
 0.04889      181 count(alternative)
 0.04889     1344 count(the_most)
 0.04761      255 count(bad)
 0.04735     1556 count(white_to)
 0.04735      896 count(meet)
 0.04735       95 count(a)
 0.04609     1400 count(this_be_the)
 0.04449      691 count(from)
 0.04449     1625 count(would_have)
 0.04399      537 count(decisive)
 0.04302      544 count(defence)
 0.04262     1420 count(time)
 0.04204      300 count(be_more)
 0.04204      344 count(be_win)
 0.04106     1463 count(trouble)
 0.03952     1355 count(the_point)
 0.03939      278 count(be_better)
 0.03939        8 count())
 0.03939        7 count(()
 0.03939      269 count(be_also)
 0.03765     1612 count(with_the)
 0.03765     1594 count(with_a)
 0.03711      304 count(be_not)
 0.03669      567 count(doesn_apostrophe_t)
 0.03641      957 count(no)
 0.03364     1338 count(the_knight)
 0.03319      793 count(interest)
 0.0322       724 count(ha)
 0.03152      851 count(line)
 0.03066     1593 count(with)
 0.03063      675 count(for_the)
 0.03024      155 count(after)
 0.0298      1575 count(win_.)
 0.02902      817 count(keep)
 0.02673      429 count(by)
 0.02551      959 count(not)
 0.02301      369 count(bishop)
 0.02298      911 count(more)
 0.02124      769 count(in)
 0.02095     1088 count(point)
 0.02078      761 count(idea)
 0.02075      235 count(attack)
 0.02065      839 count(lead)
 0.01825      175 count(also)
 0.01676     1573 count(win)
 0.01572      990 count(of)
 0.01478     1396 count(this)
 0.01023      664 count(for)
 0.01006     1291 count(the)
 0.00668        1 number_of_tokens
 0.00319       38 count(.)
 0            271 count(be_an)
 0            582 count(e)
 0            580 count(due)
 0            581 count(due_to)
 0             97 count(a_better)
 0             94 count(_.)
 0             98 count(a_bite)
 0             96 count(a_/)
 0             93 count(__|__.)
 0            101 count(a_clear)
 0             92 count(__|__)
 0             87 count(^_.)
 0             88 count(^_^)
 0             89 count(_)
 0             90 count(__be)
 0             91 count(__|)
 0            578 count(drawish)
 0            577 count(draw_by_perpetual)
 0             86 count(^)
 0            576 count(draw_by)
 0            103 count(a_dead_draw)
 0            104 count(a_decisive)
 0            105 count(a_decisive_advantage)
 0            565 count(doe_not)
 0            564 count(doe)
 0            569 count(dominate)
 0            570 count(domination)
 0            571 count(don_apostrophe_t)
 0            574 count(draw_.)
 0            575 count(draw_be)
 0            573 count(draw)
 0            102 count(a_dead)
 0            572 count(double)
 0            583 count(e-file)
 0             85 count(]_and)
 0            562 count(difficult)
 0             79 count([__percent__cal)
 0            605 count(endgame_.)
 0             80 count([__percent__csl)
 0             81 count([_+)
 0             82 count([_+_])
 0            603 count(end_up)
 0            606 count(enough)
 0             78 count([__percent_)
 0            601 count(end_.)
 0             77 count([)
 0             73 count(>_<)
 0             74 count(>_>)
 0            607 count(equal)
 0             75 count(>_>_.)
 0             76 count(?)
 0            602 count(end_be)
 0            600 count(end)
 0            584 count(e.g.)
 0            591 count(easily_.)
 0            589 count(easier)
 0             84 count(])
 0            587 count(e5_.)
 0            586 count(e5)
 0            585 count(e4)
 0            590 count(easily)
 0            592 count(easily_win)
 0            599 count(elegant)
 0            593 count(easy)
 0            598 count(either_.)
 0            597 count(either)
 0            596 count(effective)
 0            595 count(edge_.)
 0            594 count(edge)
 0            563 count(do)
 0            561 count(difference)
 0            608 count(equal_.)
 0            525 count(dark)
 0            523 count(dangerous)
 0            522 count(danger_.)
 0            521 count(danger)
 0            520 count(d6)
 0            519 count(d4)
 0            524 count(dangerous_.)
 0            526 count(dark_square)
 0            124 count(a_possible)
 0            126 count(a_slight)
 0            531 count(decide)
 0            530 count(dead_draw)
 0            529 count(dead)
 0            528 count(de)
 0            527 count(dark_square_.)
 0            518 count(d)
 0            517 count(cup)
 0            516 count(csl)
 0            515 count(crush)
 0            509 count(counterplay)
 0            508 count(could)
 0            507 count(correct)
 0            132 count(a_well)
 0            133 count(a_well_.)
 0            510 count(counterplay_.)
 0            131 count(a_very)
 0            511 count(course)
 0            513 count(create)
 0            514 count(critical)
 0            512 count(cover)
 0            130 count(a_typical)
 0            127 count(a_strong)
 0            532 count(decide_the)
 0            533 count(decide_the_game)
 0            560 count(diagonal_.)
 0            107 count(a_draw)
 0            110 count(a_good)
 0            111 count(a_great)
 0            549 count(defensive)
 0            548 count(defense_.)
 0            112 count(a_healthy)
 0            109 count(a_fight)
 0            554 count(destroy)
 0            534 count(decide_to)
 0            106 count(a_difficult)
 0            559 count(diagonal)
 0            558 count(development_.)
 0            557 count(development)
 0            556 count(develop)
 0            555 count(destroy_black_apostrophe_s)
 0            546 count(defend)
 0            545 count(defence_.)
 0            113 count(a_huge)
 0            114 count(a_huge_space)
 0            121 count(a_perpetual)
 0            122 count(a_piece)
 0            536 count(decision_.)
 0            123 count(a_piece_.)
 0            535 count(decision)
 0            119 count(a_pawn)
 0            118 count(a_nice)
 0            117 count(a_nasty)
 0            541 count(decisive_attack)
 0            115 count(a_little)
 0            540 count(decisive_advantage_for)
 0            538 count(decisive_advantage)
 0            539 count(decisive_advantage_.)
 0             72 count(>_.)
 0             71 count(>)
 0            270 count(be_also_possible)
 0             27 count(_comma__r)
 0            683 count(force_black)
 0             28 count(_comma__r_/)
 0            681 count(force)
 0             29 count(_comma__s)
 0             30 count(_comma__s_/)
 0            684 count(force_black_to)
 0             26 count(_comma__m_/)
 0             19 count(_comma__e.g.)
 0            685 count(forget)
 0             22 count(_comma__g)
 0             23 count(_comma__j)
 0             24 count(_comma__j_/)
 0            686 count(forget_about)
 0             25 count(_comma__m)
 0            680 count(for_white_.)
 0            679 count(for_white)
 0            678 count(for_this)
 0            677 count(for_the_pawn)
 0             34 count(_comma__with)
 0             35 count(-)
 0            668 count(for_black)
 0             36 count(-_>)
 0             37 count(-_>_.)
 0            669 count(for_black_.)
 0            670 count(for_equality)
 0             33 count(_comma__white)
 0             31 count(_comma__the)
 0            676 count(for_the_exchange)
 0            674 count(for_nothing_.)
 0             32 count(_comma__this)
 0            673 count(for_nothing)
 0            690 count(free)
 0             18 count(_comma__e)
 0             39 count(._after)
 0              6 count(_percent__csl)
 0            712 count(give_white)
 0             10 count(+_])
 0             11 count(_comma_)
 0            709 count(give)
 0            708 count(get_the)
 0              9 count(+)
 0            713 count(go)
 0            692 count(from_the)
